query_id,token,tag
Q000001,samsung,B-BRAND
Q000002,apple,B-BRAND
Q000003,nike,B-BRAND
Q000004,adidas,B-BRAND
Q000005,sony,B-BRAND
Q000006,oneplus,B-BRAND
Q000007,xiaomi,B-BRAND
Q000008,vivo,B-BRAND
Q000009,oppo,B-BRAND
Q000010,realme,B-BRAND
Q000011,dell,B-BRAND
Q000012,hp,B-BRAND
Q000013,lenovo,B-BRAND
Q000014,asus,B-BRAND
Q000015,lg,B-BRAND
Q000016,boat,B-BRAND
Q000017,jbl,B-BRAND
Q000018,puma,B-BRAND
Q000019,reebok,B-BRAND
Q000020,bata,B-BRAND
Q000021,zara,B-BRAND
Q000022,hm,B-BRAND
Q000023,levis,B-BRAND
Q000024,ikea,B-BRAND
Q000025,prestige,B-BRAND
Q000026,samsng,O
Q000027,aple,O
Q000028,nkie,O
Q000029,addidas,O
Q000030,soney,O
Q000031,onepls,O
Q000032,xiomi,O
Q000033,vvo,O
Q000034,opo,O
Q000035,realmi,O
Q000036,del,O
Q000037,lenvo,O
Q000038,asuss,O
Q000039,bot,O
Q000040,jb,O
Q000041,pma,O
Q000042,rebbok,O
Q000043,zarra,O
Q000044,levis,B-BRAND
Q000045,ikia,O
Q000046,prestig,O
Q000047,h,O
Q000047,p,O
Q000048,l,B-SIZE
Q000048,g,O
Q000049,bta,O
Q000050,h,O
Q000050,m,B-SIZE
Q000051,smartphone,B-PRODUCT
Q000052,mobile,B-PRODUCT
Q000052,phone,B-PRODUCT
Q000053,laptop,B-PRODUCT
Q000054,notebook,B-PRODUCT
Q000055,headphones,B-PRODUCT
Q000056,earbuds,B-PRODUCT
Q000057,tv,B-PRODUCT
Q000058,television,B-PRODUCT
Q000059,shoes,B-PRODUCT
Q000060,sneakers,B-PRODUCT
Q000061,jeans,B-PRODUCT
Q000062,t,O
Q000062,shirt,B-PRODUCT
Q000063,shirt,B-PRODUCT
Q000064,hoodie,B-PRODUCT
Q000065,watch,B-PRODUCT
Q000066,smartwatch,B-PRODUCT
Q000067,tablet,B-PRODUCT
Q000068,camera,B-PRODUCT
Q000069,speaker,B-PRODUCT
Q000070,keyboard,B-PRODUCT
