product_id,title,brand,category,subcategory,description,specifications,price,color,is_f_assured,cod_available,return_policy,seller_name,seller_rating,image_url,tags
P10000,Dell XPS 13,Dell,Electronics,Laptop,Dell XPS 13 - Society beyond culture growth seem peace pretty morning.,"Display: 8GB, Processor: MediaTek",155200.11,Rose Gold,True,False,7-day return,Stone Inc,3.5,https://images.flipkart.com/products/P10000.jpg,"HD, Premium"
P10001,L'Oreal Paris Lipstick,L'Oreal,Beauty,Cosmetics,L'Oreal Paris Lipstick - Nearly past tonight development military front quickly by throw simply.,"Camera: 8GB, Connectivity: WiFi 6",17592.86,Silver,True,False,15-day return,David PLC,4.7,https://images.flipkart.com/products/P10001.jpg,"Best Seller, New Launch"
P10002,Asus TUF Gaming A15,Asus,Electronics,Laptop,Asus TUF Gaming A15 - Husband commercial concern key answer speech head four.,"Display: 128GB, Processor: MediaTek",192726.22,Gray,True,True,30-day return,Walker PLC,3.6,https://images.flipkart.com/products/P10002.jpg,"Lightweight, 4K, Smart"
P10003,Allen Solly Polo T-Shirt,Allen Solly,Fashion,Clothing,Allen Solly Polo T-Shirt - End consumer similar help big cup suddenly expect loss as.,"RAM: 256GB, Processor: 5G",4751.09,Purple,False,True,7-day return,"Carson, Smith and Bryan",3.6,https://images.flipkart.com/products/P10003.jpg,"Best Seller, 4K"
P10004,Oppo A78,Oppo,Electronics,Smartphone,Oppo A78 - Travel success than policy follow war choose call animal.,"RAM: 256GB, OS: iOS 17",41055.59,Gray,True,False,15-day return,Green and Sons,3.8,https://images.flipkart.com/products/P10004.jpg,"Trending, Durable, Best Seller"
P10005,Vivo Y100,Vivo,Electronics,Smartphone,Vivo Y100 - Various information federal explain position impact school.,"Storage: 6.5 inch, Connectivity: MediaTek",16496.93,Silver,False,True,15-day return,Orr-Campbell,4.8,https://images.flipkart.com/products/P10005.jpg,"HD, Smart"
P10006,Nike React Infinity,Nike,Fashion,Shoes,Nike React Infinity - Deal power federal none employee suggest.,"Display: 6GB, Processor: 5G",13207.33,Gray,True,False,30-day return,"Martin, Jones and Harding",4.8,https://images.flipkart.com/products/P10006.jpg,"Eco-Friendly, Fast Charging, 4K, Best Seller"
P10007,"MI A Series 43""",MI,Electronics,TV,"MI A Series 43"" - Skin such never including grow worry.","Camera: 256GB, Connectivity: iOS 17",118168.99,Blue,False,True,7-day return,"Jones, Chapman and Howard",4.8,https://images.flipkart.com/products/P10007.jpg,"Durable, Fast Charging"
P10008,Uniqlo UV Protection Polo,Uniqlo,Fashion,Clothing,Uniqlo UV Protection Polo - Stuff such statement drop fight.,"RAM: 256GB, OS: 5G",14943.76,Rose Gold,False,True,7-day return,Cooper Group,4.5,https://images.flipkart.com/products/P10008.jpg,"Best Seller, 4K, Durable, Waterproof"
P10009,Dell Vostro 14,Dell,Electronics,Laptop,Dell Vostro 14 - Federal his practice staff senior fact life wish accept their.,"Battery: 8GB, OS: Snapdragon",192148.71,Green,True,True,15-day return,Holt PLC,4.8,https://images.flipkart.com/products/P10009.jpg,"Lightweight, HD, Fast Charging, Waterproof"
P10010,Asus VivoBook 15,Asus,Electronics,Laptop,Asus VivoBook 15 - Join war heart raise same foreign speech assume big.,"Camera: 128GB, OS: Snapdragon",49017.51,Gray,False,True,7-day return,Oliver-Simpson,3.9,https://images.flipkart.com/products/P10010.jpg,"Wireless, New Launch, Trending, Eco-Friendly"
P10011,Vivo Y100,Vivo,Electronics,Smartphone,Vivo Y100 - Tv allow individual give begin audience history eye state cultural.,"Storage: 8GB, Connectivity: iOS 17",57236.13,Blue,False,False,10-day return,Tran-Williams,4.9,https://images.flipkart.com/products/P10011.jpg,"Trending, HD, New Launch, 4K"
P10012,Zara Hoodie,Zara,Fashion,Clothing,Zara Hoodie - Bit recognize maintain detail argue.,"Battery: 6.5 inch, OS: Snapdragon",4094.63,White,False,True,10-day return,"Bennett, Ward and Scott",4.4,https://images.flipkart.com/products/P10012.jpg,"Wireless, Trending"
P10013,Xiaomi Mi 13,Xiaomi,Electronics,Smartphone,Xiaomi Mi 13 - Begin later form expert institution.,"RAM: 6GB, OS: Snapdragon",34736.12,Green,False,True,10-day return,Marsh-Robinson,4.6,https://images.flipkart.com/products/P10013.jpg,"Lightweight, Eco-Friendly, HD, Best Seller"
