product_id,location,delivery_estimate,current_price,stock_status,offer_strength,rating,review_count
P10000,Pune,2 days,112257.23,Low Stock,10% OFF,3.5,34945
P10001,Chennai,5 days,12490.02,Low Stock,5% OFF,4.2,24089
P10002,Lucknow,5 days,175603.57,In Stock,25% OFF,4.5,41476
P10003,Mumbai,2 days,4546.68,Low Stock,5% OFF,3.7,32048
P10004,Bangalore,2 days,35190.22,In Stock,No Offer,3.6,12638
P10005,Lucknow,5 days,11983.77,Low Stock,No Offer,3.2,2843
P10006,Pune,6 days,10220.45,In Stock,10% OFF,4.4,47710
P10007,Hyderabad,3 days,110828.76,In Stock,15% OFF,3.0,472
P10008,Mumbai,7 days,13024.0,In Stock,30% OFF,3.3,9840
P10009,Ahmedabad,5 days,179385.37,In Stock,15% OFF,3.1,45456
P10010,Pune,4 days,47923.56,In Stock,15% OFF,3.7,21663
P10011,Pune,5 days,51806.43,Low Stock,20% OFF,4.0,20229
P10012,Jaipur,1 days,3771.17,Out of Stock,15% OFF,4.7,29921
P10013,Lucknow,6 days,33381.2,In Stock,15% OFF,4.3,450
P10014,Lucknow,5 days,5507.79,In Stock,50% OFF,3.1,20504
P10015,Pune,3 days,54698.65,Low Stock,25% OFF,4.7,8399
P10016,Delhi,7 days,80677.69,In Stock,No Offer,4.5,22288
P10017,Hyderabad,7 days,6648.45,In Stock,25% OFF,4.0,2193
P10018,Pune,2 days,1486.99,In Stock,20% OFF,4.0,31484
P10019,Mumbai,5 days,50705.53,In Stock,5% OFF,4.8,29213
P10020,Delhi,1 days,10066.33,In Stock,15% OFF,5.0,40815
P10021,Bangalore,5 days,174417.16,In Stock,50% OFF,3.9,11213
P10022,Ahmedabad,3 days,15264.23,In Stock,5% OFF,3.7,41386
P10023,Ahmedabad,2 days,9703.82,Low Stock,No Offer,4.6,6079
P10024,Ahmedabad,1 days,88715.48,Low Stock,No Offer,4.3,22461
P10025,Chennai,5 days,224697.99,Low Stock,40% OFF,3.4,42448
P10026,Mumbai,2 days,1835.31,In Stock,10% OFF,3.6,24567
P10027,Bangalore,5 days,258035.46,In Stock,20% OFF,3.4,40863
P10028,Chennai,4 days,8601.7,Low Stock,No Offer,4.3,15234
P10029,Chennai,1 days,10300.16,Out of Stock,15% OFF,3.3,27430
P10030,Hyderabad,3 days,83865.51,Out of Stock,25% OFF,3.9,19454
P10031,Pune,1 days,5878.55,In Stock,10% OFF,3.1,47464
P10032,Bangalore,3 days,115440.53,In Stock,5% OFF,3.8,36570
P10033,Hyderabad,7 days,132384.71,In Stock,15% OFF,4.7,40935
P10034,Delhi,6 days,66803.09,In Stock,10% OFF,4.4,18251
