session_id,timestamp,query,clicked_product_id,purchased,location,event
S100000,2025-07-22 05:59:06,jbl,P12979,False,Mumbai,click
S100000,2025-07-22 05:47:06,earbuds below 10000,,False,Hyderabad,search
S100000,2025-07-22 06:01:06,analog watch,P12507,False,Bangalore,search
S100000,2025-07-22 05:45:06,snkrs below 20000,P12162,True,Mumbai,search
S100001,2025-07-26 19:12:06,adidas ultraboost,P14112,False,Kolkata,purchase
S100001,2025-07-26 19:12:06,4k tv,P11626,False,Jaipur,compare
S100001,2025-07-26 19:23:06,lenvo,P12322,False,Delhi,click
S100001,2025-07-26 19:02:06,lenovo ideapad,P12857,False,Ahmedabad,view_details
S100001,2025-07-26 19:16:06,earbuds above 20000,P14383,False,Chennai,search
S100001,2025-07-26 19:14:06,speaker,P12982,False,Jaipur,search
S100002,2025-07-26 20:48:06,shos between 10000 and 20000,P14536,False,Delhi,compare
S100002,2025-07-26 20:34:06,lenvo,P14454,False,Bangalore,compare
S100002,2025-07-26 20:33:06,smartphon,P10028,False,Jaipur,add_to_cart
S100003,2025-07-20 00:40:06,sony bravia,,False,Kolkata,search
S100003,2025-07-20 00:49:06,leather strap watch,P12068,True,Kolkata,click
S100004,2025-07-04 00:01:06,nike air max,,False,Kolkata,search
S100004,2025-07-04 00:15:06,adiads ultraboost,P10142,False,Delhi,purchase
S100004,2025-07-04 00:07:06,runing shoes,P11329,False,Delhi,search
S100004,2025-07-04 00:19:06,leather strap watch,,False,Bangalore,search
S100004,2025-07-04 00:29:06,laptop under 10000,P13818,True,Jaipur,view_details
S100005,2025-06-27 10:02:06,jbl tune,P14628,True,Bangalore,add_to_cart
S100006,2025-07-05 02:25:06,ssd laptop,,False,Lucknow,search
S100006,2025-07-05 02:43:06,televisn,P12987,False,Chennai,search
S100006,2025-07-05 02:27:06,sneakers between 10000 and 20000,P13509,False,Delhi,click
S100006,2025-07-05 02:38:06,phone above 10000,P12782,False,Hyderabad,add_to_cart
S100006,2025-07-05 02:35:06,formal shirt,,False,Chennai,search
S100006,2025-07-05 02:46:06,phone above 10000,P14121,False,Lucknow,search
S100007,2025-07-06 11:25:06,shoos,,False,Hyderabad,purchase
S100008,2025-07-04 04:16:06,watch under 10000,,False,Mumbai,click
S100008,2025-07-04 04:15:06,h p,P10452,False,Lucknow,add_to_cart
S100008,2025-07-04 04:15:06,gaming mouse,,False,Pune,click
S100008,2025-07-04 03:54:06,gaming laptop,P11901,False,Ahmedabad,view_details
S100009,2025-07-01 03:14:06,headphones under 5000,,False,Bangalore,click
S100009,2025-07-01 03:29:06,samsung galaxy s24,,False,Chennai,search
S100009,2025-07-01 03:15:06,shoes below 20000,,False,Hyderabad,add_to_cart
S100009,2025-07-01 03:22:06,lenovo thinkpad,P11840,True,Lucknow,view_details
S100010,2025-07-26 03:24:06,blue jeans,P11882,False,Kolkata,click
S100010,2025-07-26 03:35:06,tv between 10000 and 20000,,False,Mumbai,click
S100010,2025-07-26 03:41:06,apple,P12451,False,Chennai,search
S100010,2025-07-26 03:30:06,rbuds under 5000,P12871,False,Delhi,search
S100010,2025-07-26 03:27:06,gamng headphones,P14413,False,Kolkata,click
S100010,2025-07-26 03:25:06,mobile phone,P14950,False,Lucknow,search
S100010,2025-07-26 03:25:06,ikea,P12740,False,Jaipur,add_to_cart
S100011,2025-07-17 23:11:06,onepls,P13077,False,Bangalore,click
S100011,2025-07-17 23:18:06,lenovo thnkpad,P12365,False,Pune,click
S100012,2025-07-25 18:38:06,mobile below 20000,,False,Mumbai,view_details
S100012,2025-07-25 18:50:06,led tv,P11570,False,Ahmedabad,click
S100012,2025-07-25 18:40:06,gaming mouse,,False,Jaipur,search
S100013,2025-07-06 12:48:06,oled tv,P12297,False,Jaipur,search
S100013,2025-07-06 12:39:06,oneplus buds,P12736,False,Jaipur,view_details
S100013,2025-07-06 12:41:06,casual shoes,P12408,True,Delhi,view_details
S100014,2025-07-19 11:55:06,mous,,False,Mumbai,search
S100014,2025-07-19 12:14:06,blue jeans,P14445,False,Bangalore,click
S100014,2025-07-19 12:14:06,blue jeans,,False,Mumbai,click
S100014,2025-07-19 12:04:06,waterproof phone,,False,Hyderabad,compare
S100015,2025-07-14 12:47:06,h p,,False,Hyderabad,search
S100015,2025-07-14 12:56:06,shoes under 20000,P14717,False,Delhi,view_details
S100015,2025-07-14 12:47:06,touchscreen laptop,P11528,False,Ahmedabad,add_to_cart
S100015,2025-07-14 12:51:06,dell inspiron,,False,Ahmedabad,click
S100016,2025-07-01 04:39:06,realme 11 pro,P13268,False,Jaipur,click
S100016,2025-07-01 04:18:06,earbuds,,False,Ahmedabad,add_to_cart
S100016,2025-07-01 04:30:06,sneakrs,P10295,False,Jaipur,search
S100016,2025-07-01 04:16:06,gaming headphones,P10678,False,Bangalore,compare
S100016,2025-07-01 04:28:06,casual shoes,,False,Hyderabad,search
S100016,2025-07-01 04:10:06,adidas ultraboost,,False,Pune,click
S100017,2025-07-17 01:40:06,oneplus buds,,False,Jaipur,wishlist
S100017,2025-07-17 01:43:06,keybord,P14484,True,Ahmedabad,wishlist
S100018,2025-07-20 00:11:06,shoes below 20000,P14630,False,Ahmedabad,search
S100018,2025-07-19 23:48:06,wireless charging phone,,False,Ahmedabad,purchase
S100018,2025-07-19 23:46:06,sneakers belo 5000,P13516,False,Delhi,click
S100018,2025-07-20 00:07:06,reebok,P14177,False,Kolkata,click
S100018,2025-07-19 23:57:06,65 inch tv,P10572,False,Bangalore,add_to_cart
S100018,2025-07-19 23:55:06,headphones below 5000,P12835,False,Mumbai,search
S100019,2025-07-03 03:43:06,jbl tune,P14373,False,Jaipur,wishlist
S100019,2025-07-03 03:40:06,dell,,False,Pune,search
S100019,2025-07-03 03:49:06,dell inspiron,,True,Chennai,view_details
S100020,2025-07-08 18:50:06,shoes under 20000,P12841,False,Hyderabad,search
S100021,2025-07-17 19:32:06,airpos pro,,False,Ahmedabad,add_to_cart
S100021,2025-07-17 19:21:06,laptop,P12931,False,Mumbai,click
S100021,2025-07-17 19:29:06,keyboard,,False,Hyderabad,wishlist
S100021,2025-07-17 19:26:06,lnovo thinkpad,,False,Jaipur,click
S100021,2025-07-17 19:09:06,shos between 10000 and 20000,,False,Hyderabad,search
S100022,2025-07-10 16:08:06,iphone 14,P10965,False,Ahmedabad,purchase
S100022,2025-07-10 16:19:06,jbl,P10613,False,Lucknow,wishlist
S100022,2025-07-10 15:52:06,laptop under 20000,,False,Pune,click
S100022,2025-07-10 16:17:06,oneplus,P11875,False,Lucknow,wishlist
S100023,2025-07-08 15:57:06,oneplus nord,P13567,False,Ahmedabad,click
S100023,2025-07-08 15:54:06,realmi,P14599,False,Delhi,add_to_cart
S100023,2025-07-08 15:40:06,prestig,P12234,False,Hyderabad,view_details
S100023,2025-07-08 15:41:06,lg oled tv,P12684,False,Lucknow,search
S100023,2025-07-08 16:00:06,earbuds above 10000,P11585,True,Bangalore,compare
S100024,2025-07-18 23:06:06,watch below 10000,,False,Jaipur,search
S100024,2025-07-18 22:46:06,wtch below 5000,P14230,False,Kolkata,purchase
S100024,2025-07-18 23:08:06,earbuds below 5000,P12518,False,Lucknow,add_to_cart
S100024,2025-07-18 23:01:06,sneakers below 10000,P11971,False,Jaipur,view_details
S100024,2025-07-18 22:43:06,65 inch tv,,False,Kolkata,click
S100024,2025-07-18 22:50:06,realme,P14884,False,Delhi,compare
S100024,2025-07-18 22:57:06,samsung galaxy a54,,False,Kolkata,view_details
S100025,2025-07-25 16:04:06,samsung galaxy s24,P11133,False,Mumbai,compare
S100025,2025-07-25 15:58:06,lenovo,P13034,False,Lucknow,search
S100025,2025-07-25 15:49:06,earbuds under 15000,P10509,False,Kolkata,click
S100025,2025-07-25 15:51:06,5g smartphone,P10571,False,Delhi,view_details
S100026,2025-06-30 23:20:06,touchscreen laptop,P10165,False,Mumbai,click
S100026,2025-06-30 23:40:06,hoodie,,False,Kolkata,add_to_cart
S100026,2025-06-30 23:28:06,oneplus 11,P13974,False,Mumbai,search
S100026,2025-06-30 23:25:06,formal shirt,,False,Chennai,search
S100027,2025-07-01 20:53:06,mobile between 10000 and 20000,P10511,False,Bangalore,click
S100027,2025-07-01 20:50:06,headphones,P14919,False,Jaipur,add_to_cart
S100027,2025-07-01 21:16:06,headphones undr 20000,,False,Ahmedabad,click
S100027,2025-07-01 20:59:06,mobil under 20000,P14539,False,Pune,add_to_cart
S100027,2025-07-01 21:13:06,asus vivobook,P14382,False,Lucknow,click
S100027,2025-07-01 21:13:06,mobile under 5000,,False,Ahmedabad,search
S100028,2025-07-09 06:01:06,headphones below 5000,P11217,False,Chennai,add_to_cart
S100028,2025-07-09 05:53:06,smartwatch,P10662,False,Hyderabad,view_details
S100028,2025-07-09 06:18:06,full sleeve shirt,,False,Mumbai,view_details
S100029,2025-07-15 06:26:06,asus rog,,False,Mumbai,view_details
S100030,2025-07-20 00:40:06,laptop undr 20000,P10420,False,Chennai,search
S100030,2025-07-20 00:44:06,metal strap watch,,False,Ahmedabad,click
S100030,2025-07-20 00:30:06,oppo reno 10,P14550,False,Lucknow,view_details
S100030,2025-07-20 00:32:06,casual shoes,P11346,False,Chennai,view_details
S100030,2025-07-20 00:24:06,del,,True,Pune,search
S100031,2025-07-21 14:46:06,sony wh-1000xm5,P11946,True,Jaipur,search
S100032,2025-07-14 11:20:06,55 inch tv,,False,Pune,search
S100032,2025-07-14 11:32:06,walet,P14784,False,Lucknow,purchase
S100032,2025-07-14 11:33:06,headphones under 15000,,False,Mumbai,click
S100032,2025-07-14 11:36:06,mi tv,P14870,False,Mumbai,search
S100032,2025-07-14 11:35:06,digital watch,P14971,True,Ahmedabad,purchase
S100033,2025-06-29 09:23:06,nike,,False,Jaipur,view_details
S100033,2025-06-29 09:28:06,casual shoes,P13167,False,Bangalore,add_to_cart
S100034,2025-07-04 22:26:06,asus vivobook,P12532,True,Mumbai,purchase
S100035,2025-07-13 21:35:06,television,P10849,False,Hyderabad,click
S100035,2025-07-13 21:46:06,soy wh-1000xm5,P13693,False,Lucknow,search
S100035,2025-07-13 21:35:06,computr between 10000 and 20000,,False,Pune,search
S100035,2025-07-13 21:33:06,adiads ultraboost,,False,Jaipur,view_details
S100035,2025-07-13 21:54:06,wirels chargng phone,,False,Pune,click
S100035,2025-07-13 21:36:06,lenovo ideapad,P12509,False,Bangalore,click
S100035,2025-07-13 21:44:06,mobil between 10000 and 20000,,False,Delhi,search
S100035,2025-07-13 21:39:06,blue jeans,P12384,False,Pune,click
S100036,2025-06-27 22:11:06,tv,P10901,False,Hyderabad,compare
S100036,2025-06-27 22:17:06,sneakrs,,False,Chennai,search
S100037,2025-07-09 00:44:06,casual shoes,,False,Hyderabad,search
S100037,2025-07-09 00:37:06,earbuds below 5000,,True,Jaipur,view_details
S100038,2025-07-20 21:06:06,reebok,P10597,False,Jaipur,search
S100038,2025-07-20 21:12:06,shoes above 10000,P12778,False,Delhi,click
S100038,2025-07-20 21:05:06,white shoes,P13365,False,Jaipur,click
S100038,2025-07-20 21:06:06,speaker,P14492,False,Jaipur,wishlist
S100038,2025-07-20 20:52:06,earbuds above 20000,,False,Pune,view_details
S100039,2025-07-11 19:37:06,laptop undr 20000,,False,Mumbai,add_to_cart
S100039,2025-07-11 19:43:06,headphones above 10000,,False,Bangalore,search
S100039,2025-07-11 19:44:06,ssd laptop,P13458,False,Jaipur,wishlist
S100039,2025-07-11 19:50:06,laptop below 10000,P12097,False,Delhi,search
S100039,2025-07-11 19:42:06,ssd laptop,P11799,True,Chennai,click
S100040,2025-07-02 02:05:06,tablit,P10258,False,Jaipur,add_to_cart
S100040,2025-07-02 01:53:06,running shoes,P12444,False,Pune,click
S100041,2025-07-27 16:53:06,prestige,P14947,False,Jaipur,view_details
S100041,2025-07-27 17:18:06,mobile belo 5000,P14591,False,Ahmedabad,view_details
S100041,2025-07-27 17:19:06,earbuds above 10000,P10895,False,Delhi,click
S100041,2025-07-27 17:00:06,gaming headphones,P11405,True,Hyderabad,click
S100042,2025-07-26 16:30:06,tv,,False,Kolkata,search
S100042,2025-07-26 16:17:06,headphones below 5000,P10852,False,Pune,click
