product_id,delivery_estimate,delivery_speed_score,offer_strength,availability,last_updated
1,4 days,0.25,Cashback,In Stock,2025-07-27T21:34:17.617421
2,7 days,0.14285714285714285,Cashback,Out of Stock,2025-07-27T21:34:17.617658
3,4 days,0.25,No Cost EMI,In Stock,2025-07-27T21:34:17.617818
4,2 days,0.5,Cashback,In Stock,2025-07-27T21:34:17.617966
5,6 days,0.16666666666666666,Cashback,Limited Stock,2025-07-27T21:34:17.618344
6,1 day,1.0,,Out of Stock,2025-07-27T21:34:17.618486
7,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.618675
8,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.618821
9,7 days,0.14285714285714285,Exchange Offer,Limited Stock,2025-07-27T21:34:17.618950
10,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.619073
11,6 days,0.16666666666666666,Discount,Out of Stock,2025-07-27T21:34:17.619203
12,7 days,0.14285714285714285,Cashback,Limited Stock,2025-07-27T21:34:17.619330
13,6 days,0.16666666666666666,No Cost EMI,In Stock,2025-07-27T21:34:17.619450
14,5 days,0.2,Cashback,Limited Stock,2025-07-27T21:34:17.619572
15,6 days,0.16666666666666666,Exchange Offer,Limited Stock,2025-07-27T21:34:17.619691
16,4 days,0.25,Cashback,Limited Stock,2025-07-27T21:34:17.619823
17,6 days,0.16666666666666666,Discount,Limited Stock,2025-07-27T21:34:17.619940
18,3 days,0.3333333333333333,Bank Offer,Out of Stock,2025-07-27T21:34:17.620055
19,4 days,0.25,,In Stock,2025-07-27T21:34:17.620199
20,2 days,0.5,No Cost EMI,Out of Stock,2025-07-27T21:34:17.620324
21,7 days,0.14285714285714285,,Out of Stock,2025-07-27T21:34:17.620441
22,1 day,1.0,Bank Offer,Limited Stock,2025-07-27T21:34:17.620556
23,3 days,0.3333333333333333,Exchange Offer,Limited Stock,2025-07-27T21:34:17.620672
24,4 days,0.25,No Cost EMI,Limited Stock,2025-07-27T21:34:17.620785
25,3 days,0.3333333333333333,Exchange Offer,Out of Stock,2025-07-27T21:34:17.620899
26,6 days,0.16666666666666666,Exchange Offer,Limited Stock,2025-07-27T21:34:17.621013
27,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.621146
28,1 day,1.0,Exchange Offer,Limited Stock,2025-07-27T21:34:17.621300
29,6 days,0.16666666666666666,Exchange Offer,Out of Stock,2025-07-27T21:34:17.621435
30,7 days,0.14285714285714285,Bank Offer,Out of Stock,2025-07-27T21:34:17.623170
31,4 days,0.25,No Cost EMI,Out of Stock,2025-07-27T21:34:17.623375
32,1 day,1.0,Cashback,In Stock,2025-07-27T21:34:17.623532
33,3 days,0.3333333333333333,Cashback,Limited Stock,2025-07-27T21:34:17.623683
34,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.623834
35,4 days,0.25,No Cost EMI,Limited Stock,2025-07-27T21:34:17.623974
36,1 day,1.0,Exchange Offer,Limited Stock,2025-07-27T21:34:17.624120
37,5 days,0.2,Exchange Offer,In Stock,2025-07-27T21:34:17.624277
38,4 days,0.25,Bank Offer,Out of Stock,2025-07-27T21:34:17.624424
39,7 days,0.14285714285714285,Exchange Offer,Out of Stock,2025-07-27T21:34:17.624565
40,7 days,0.14285714285714285,Cashback,In Stock,2025-07-27T21:34:17.625096
41,2 days,0.5,,In Stock,2025-07-27T21:34:17.625253
42,2 days,0.5,Discount,Limited Stock,2025-07-27T21:34:17.625390
43,1 day,1.0,Bank Offer,In Stock,2025-07-27T21:34:17.625514
44,6 days,0.16666666666666666,No Cost EMI,In Stock,2025-07-27T21:34:17.625637
45,6 days,0.16666666666666666,Discount,Out of Stock,2025-07-27T21:34:17.625756
46,5 days,0.2,Exchange Offer,In Stock,2025-07-27T21:34:17.625872
47,5 days,0.2,,In Stock,2025-07-27T21:34:17.626003
48,1 day,1.0,,Out of Stock,2025-07-27T21:34:17.626114
49,3 days,0.3333333333333333,No Cost EMI,Limited Stock,2025-07-27T21:34:17.626224
50,7 days,0.14285714285714285,Exchange Offer,Limited Stock,2025-07-27T21:34:17.626336
51,6 days,0.16666666666666666,No Cost EMI,Limited Stock,2025-07-27T21:34:17.626448
52,2 days,0.5,Exchange Offer,In Stock,2025-07-27T21:34:17.626567
53,1 day,1.0,Discount,Out of Stock,2025-07-27T21:34:17.626694
54,1 day,1.0,Discount,In Stock,2025-07-27T21:34:17.626811
55,2 days,0.5,Bank Offer,Out of Stock,2025-07-27T21:34:17.626923
56,5 days,0.2,Exchange Offer,Limited Stock,2025-07-27T21:34:17.627051
57,4 days,0.25,No Cost EMI,Limited Stock,2025-07-27T21:34:17.627165
58,4 days,0.25,Exchange Offer,In Stock,2025-07-27T21:34:17.627288
59,1 day,1.0,Exchange Offer,Limited Stock,2025-07-27T21:34:17.627403
60,7 days,0.14285714285714285,Exchange Offer,Out of Stock,2025-07-27T21:34:17.627517
61,4 days,0.25,,Out of Stock,2025-07-27T21:34:17.627631
62,4 days,0.25,Exchange Offer,Limited Stock,2025-07-27T21:34:17.627745
63,1 day,1.0,Bank Offer,Out of Stock,2025-07-27T21:34:17.627858
64,1 day,1.0,Exchange Offer,In Stock,2025-07-27T21:34:17.627971
65,5 days,0.2,No Cost EMI,In Stock,2025-07-27T21:34:17.628084
66,5 days,0.2,Bank Offer,Out of Stock,2025-07-27T21:34:17.628198
67,5 days,0.2,,Limited Stock,2025-07-27T21:34:17.628316
68,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.629907
69,3 days,0.3333333333333333,Bank Offer,Out of Stock,2025-07-27T21:34:17.630116
70,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.630269
71,6 days,0.16666666666666666,,In Stock,2025-07-27T21:34:17.630415
72,4 days,0.25,,In Stock,2025-07-27T21:34:17.630555
73,1 day,1.0,Bank Offer,Limited Stock,2025-07-27T21:34:17.630696
74,5 days,0.2,Discount,Limited Stock,2025-07-27T21:34:17.630833
75,5 days,0.2,,Out of Stock,2025-07-27T21:34:17.630971
76,5 days,0.2,,In Stock,2025-07-27T21:34:17.631107
77,7 days,0.14285714285714285,Discount,In Stock,2025-07-27T21:34:17.631303
78,5 days,0.2,Cashback,Limited Stock,2025-07-27T21:34:17.631450
79,5 days,0.2,Discount,Out of Stock,2025-07-27T21:34:17.631584
80,3 days,0.3333333333333333,Exchange Offer,In Stock,2025-07-27T21:34:17.633364
