query_id,raw_query,corrected_query,frequency,event,category,clicked_product_ids
Q000001,samsung,samsung,1460,view_details,Electronics,"P12857, P10383, P11555, P14835, P13550, P14120"
Q000002,apple,apple,565,click,Electronics,"P10573, P13352"
Q000003,nike,nike,911,search,Fashion,"P14427, P13719"
Q000004,adidas,adidas,748,view_details,Fashion,"P12110, P14658, P11264, P11382, P10320, P13697, P12032"
Q000005,sony,sony,1914,search,Electronics,"P13218, P11044, P10309, P11074, P11038, P14798"
Q000006,oneplus,oneplus,1124,add_to_cart,Electronics,"P13032, P10784, P11585, P10582, P14911"
Q000007,xiaomi,xiaomi,1115,search,Electronics,"P14307, P12532, P13942, P10344, P13854"
Q000008,vivo,vivo,822,search,Electronics,"P11970, P10149, P11497, P10703, P12919, P13309, P10245, P10855"
Q000009,oppo,oppo,1205,search,Electronics,"P13870, P13312, P12770, P14993, P14175"
Q000010,realme,realme,1946,click,Electronics,"P13283, P11314, P10554, P10356, P12579, P11299, P10251, P13546"
Q000011,dell,dell,725,click,Electronics,P13429
Q000012,hp,hp,616,search,Electronics,"P10847, P11595, P14506, P13621, P11998, P12349, P11843"
Q000013,lenovo,lenovo,724,click,Electronics,"P10635, P10760, P10169, P11024, P11872, P12555, P13589, P13750"
Q000014,asus,asus,1881,search,Electronics,"P13849, P11111, P14686, P10411, P11336"
Q000015,lg,lg,678,add_to_cart,Electronics,"P11774, P14641"
Q000016,boat,boat,590,click,Electronics,"P13649, P11094, P14627, P14912"
Q000017,jbl,jbl,1731,view_details,Electronics,"P13221, P12044, P11362, P11220, P10827, P10409, P14298, P10719"
Q000018,puma,puma,519,click,Fashion,"P12149, P10367, P14874, P11752, P10180"
Q000019,reebok,reebok,506,search,Fashion,"P14464, P11420, P13953, P11060, P10668"
Q000020,bata,bata,1247,click,Fashion,"P13177, P11971, P12394, P13258, P11435"
Q000021,zara,zara,923,search,Fashion,"P10738, P12087, P11283, P12878, P12474, P13165, P11994, P11892"
Q000022,hm,hm,1781,search,Fashion,"P13861, P11743, P10541"
Q000023,levis,levis,1400,add_to_cart,Fashion,"P13550, P14658, P13192, P13156, P10779, P12340"
Q000024,ikea,ikea,599,click,Fashion,"P13201, P10906, P12111, P11348, P13215, P13396"
Q000025,prestige,prestige,1851,search,Fashion,P12574
Q000026,samsng,samsung,241,view_details,Electronics,"P10069, P11701, P11805"
